OBJECTID,PLANID,BLM_ORG_CD,OHV_DSG,DSG_REASON,RESTRICT_,RESTRICT_DETAIL,SHAPE_Length,SHAPE_Area
773,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,SRMA,,,0.00608322365707928,9.80904662471223e-07
774,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,ERMA,,,0.344917358169293,0.00116861227677647
775,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.708315868531877,0.0030246581093112
776,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0487109536854296,0.000105677845323369
777,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0168592101617615,1.73246358049749e-05
778,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0611454979339335,0.00021475695595495
779,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0679299159335719,0.00028201587738954
780,Southwestern Oregon RMP 2016,ORM07,Closed,ERMA,,,0.0754258741844736,0.000302097132378159
781,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,SRMA,,,0.041313929639101,5.14379310488821e-05
782,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,ACEC,,,0.0373279056770862,5.22992817929226e-05
783,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0585777984627952,9.19728530118442e-05
784,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.134836376378537,0.000373570926221512
785,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0169793874679511,1.7619327839788e-05
786,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0584625627495846,0.000106775504673627
787,Unknown,ORM06,Closed,RIPARIAN,,,0.0190664113143854,5.01151545732629e-06
788,Unknown,ORM06,Closed,RIPARIAN,,,0.00105737130663823,6.4787999700542e-08
789,Unknown,ORM06,Closed,RIPARIAN,,,0.0010080746253383,7.60961849053008e-08
790,Unknown,ORM06,Closed,RIPARIAN,,,0.0032474384232179,3.46381976990207e-07
791,Unknown,ORM06,Closed,RIPARIAN,,,0.00200313092596872,1.77982574993298e-07
792,Unknown,ORM06,Closed,RIPARIAN,,,0.000859964623911093,2.9692824996668e-08
793,Unknown,ORM06,Closed,RIPARIAN,,,0.000349891788722698,5.30322530117652e-09
794,Unknown,ORM06,Closed,RIPARIAN,,,0.000674561067084176,1.8663029903347e-08
795,Unknown,ORM06,Closed,RIPARIAN,,,0.00137519170680699,1.03720055504417e-07
796,Unknown,ORM06,Closed,RIPARIAN,,,0.00655319116078823,1.10041530528985e-06
797,Unknown,ORM06,Closed,RIPARIAN,,,0.002148995099826,1.34729464899126e-07
798,Unknown,ORM06,Closed,RIPARIAN,,,0.000239788196988648,3.70002500094766e-09
799,Unknown,ORM06,Closed,RIPARIAN,,,0.000511721643608109,1.77850148030055e-08
800,Unknown,ORM06,Closed,RIPARIAN,,,0.0029602259443892,3.17158479888813e-07
801,Unknown,ORM06,Closed,RIPARIAN,,,0.00119229556069951,1.04089929803974e-07
802,Unknown,ORM06,Closed,RIPARIAN,,,0.000204595360715578,6.22557621692304e-10
803,Unknown,ORM06,Closed,RIPARIAN,,,0.000912470733208133,4.89084952009699e-08
804,Unknown,ORM06,Closed,RIPARIAN,,,0.000333777909198,7.98262838136508e-10
805,Unknown,ORM06,Closed,RIPARIAN,,,0.00318014693638501,4.85252221777224e-07
806,Unknown,ORM06,Closed,RIPARIAN,,,0.00296724448763046,3.12280710299712e-07
807,Unknown,ORM06,Closed,RIPARIAN,,,0.000577067595240794,2.52519999943108e-08
808,Unknown,ORM06,Closed,RIPARIAN,,,0.000339018064478851,7.00000000173854e-09
809,Unknown,ORM06,Closed,RIPARIAN,,,0.00039108831209674,9.60206509668233e-09
810,Unknown,ORM06,Closed,RIPARIAN,,,0.00240862658628217,2.75860014817723e-07
811,Unknown,ORM06,Closed,RIPARIAN,,,0.00232808603110173,1.67907999898898e-07
812,Unknown,ORM06,Closed,RIPARIAN,,,0.00308200518889316,2.90084040090284e-07
813,Unknown,ORM06,Closed,RIPARIAN,,,0.000758698209109699,3.25320827944909e-08
814,Unknown,ORM06,Closed,RIPARIAN,,,0.00146100382510721,1.31097933710366e-07
815,Unknown,ORM06,Closed,RIPARIAN,,,0.00570345791974914,7.51735269916284e-07
816,Unknown,ORM06,Closed,RIPARIAN,,,0.00171573033953464,1.48857891407605e-07
817,Unknown,ORM06,Closed,RIPARIAN,,,0.00239625854495826,1.52588175216579e-07
818,Unknown,ORM06,Closed,RIPARIAN,,,0.00875426461082361,2.27029871437749e-06
819,Unknown,ORM06,Closed,RIPARIAN,,,0.00252755779471533,3.50218250198632e-07
820,Unknown,ORM06,Closed,RIPARIAN,,,0.000643333814299884,2.37842552012704e-08
821,Unknown,ORM06,Closed,RIPARIAN,,,0.00102682327771327,6.06642897942463e-08
822,Unknown,ORM06,Closed,RIPARIAN,,,0.0037381895546229,5.51216900103585e-07
823,Unknown,ORM06,Closed,RIPARIAN,,,0.0015093248093895,1.30411919020142e-07
824,Unknown,ORM06,Open,BLMOPEN,,,0.0170254163364375,1.77218449482987e-05
